Date,Open,High,Low,Close,Adj Close,Volume,A,R
1986-05-19,10,10,10,10,1.121154,0,-0.002000617,-0.200%
1986-05-20,9.98,9.98,9.98,9.98,1.118911,0,-0.200%,-0.200%
1986-05-21,10.08,10.08,10.08,10.08,1.130123,0,1.002%,1.002%
1986-05-22,10.06,10.06,10.06,10.06,1.12788,0,-0.198%,-0.198%
1986-05-23,10.08,10.08,10.08,10.08,1.130123,0,0.199%,0.199%
1986-05-27,10.13,10.13,10.13,10.13,1.135729,0,0.496%,0.496%
1986-05-28,10,10,10,10,1.121154,0,-1.283%,-1.283%
1986-05-29,9.96,9.96,9.96,9.96,1.119244,0,-0.170%,-0.170%
1986-05-30,9.96,9.96,9.96,9.96,1.119244,0,0.000%,0.000%
1986-06-02,9.83,9.83,9.83,9.83,1.104635,0,-1.305%,-1.305%
1986-06-03,9.85,9.85,9.85,9.85,1.106883,0,0.204%,0.204%
1986-06-04,9.83,9.83,9.83,9.83,1.104635,0,-0.203%,-0.203%
1986-06-05,9.8,9.8,9.8,9.8,1.101263,0,-0.305%,-0.305%
1986-06-06,9.94,9.94,9.94,9.94,1.116996,0,1.429%,1.429%
1986-06-09,9.89,9.89,9.89,9.89,1.111377,0,-0.503%,-0.503%
1986-06-10,9.85,9.85,9.85,9.85,1.106883,0,-0.404%,-0.404%
1986-06-11,9.84,9.84,9.84,9.84,1.105758,0,-0.102%,-0.102%
1986-06-12,9.87,9.87,9.87,9.87,1.10913,0,0.305%,0.305%
1986-06-13,9.92,9.92,9.92,9.92,1.114749,0,0.507%,0.507%
1986-06-16,10.06,10.06,10.06,10.06,1.13048,0,1.411%,1.411%
1986-06-17,10.06,10.06,10.06,10.06,1.13048,0,0.000%,0.000%
1986-06-18,10.03,10.03,10.03,10.03,1.12711,0,-0.298%,-0.298%
1986-06-19,9.97,9.97,9.97,9.97,1.120367,0,-0.598%,-0.598%
1986-06-20,10.02,10.02,10.02,10.02,1.125986,0,0.502%,0.502%
1986-06-23,10.08,10.08,10.08,10.08,1.132727,0,0.599%,0.599%
1986-06-24,10.12,10.12,10.12,10.12,1.137224,0,0.397%,0.397%
1986-06-25,10.14,10.14,10.14,10.14,1.139471,0,0.198%,0.198%
1986-06-26,10.15,10.15,10.15,10.15,1.140596,0,0.099%,0.099%
1986-06-27,10.19,10.19,10.19,10.19,1.14509,0,0.394%,0.394%
1986-06-30,10.22,10.22,10.22,10.22,1.155263,0,0.888%,0.888%
1986-07-01,10.22,10.22,10.22,10.22,1.155263,0,0.000%,0.000%
1986-07-02,10.22,10.22,10.22,10.22,1.155263,0,0.000%,0.000%
1986-07-03,10.29,10.29,10.29,10.29,1.163177,0,0.685%,0.685%
1986-07-07,10.28,10.28,10.28,10.28,1.162046,0,-0.097%,-0.097%
1986-07-08,10.18,10.18,10.18,10.18,1.150741,0,-0.973%,-0.973%
1986-07-09,10.22,10.22,10.22,10.22,1.155263,0,0.393%,0.393%
1986-07-10,10.26,10.26,10.26,10.26,1.159785,0,0.391%,0.391%
1986-07-11,10.26,10.26,10.26,10.26,1.159785,0,0.000%,0.000%
1986-07-14,10.27,10.27,10.27,10.27,1.160915,0,0.097%,0.097%
1986-07-15,10.28,10.28,10.28,10.28,1.162046,0,0.097%,0.097%
1986-07-16,10.36,10.36,10.36,10.36,1.171088,0,0.778%,0.778%
