Date,AAPL,XOM,PTR,MSFT,GE,GOOGL,AMZN,CSCO,BRK-A,FB,BABA,JNJ,WFC,IDCBF,NVS,RHHVF,WMT,IBM,NSRGF,CVX,RDS-B,CHL,PBR,BHP,CICHF,T,PG,C,TM,BAC,OGZPY,BP,HSBC,PFE
1990-01-02,0,62.58,0,4.937,60.45,0,0,0,0,0,0,19.94,2.115,0,0,0,26.67,26.67,0,0,0,0,0,0,0,19.46,24.21,4.325,60.51,0,0,0,0,11.75
1990-01-03,0,61.96,0,4.965,60.34,0,0,0,0,0,0,20.03,2.022,0,0,0,26.67,26.67,0,0,0,0,0,0,0,19.12,24.17,4.38,60.73,0,0,0,0,11.79
1990-01-04,0,61.33,0,5.11,60,0,0,0,0,0,0,20.07,1.998,0,0,0,26.53,26.53,0,0,0,0,0,0,0,18.71,23.7,4.325,61.59,0,0,0,0,11.98
1990-01-05,0,61.02,0,4.986,59.44,0,0,0,0,0,0,19.86,1.94,0,0,0,26.25,26.25,0,0,0,0,0,0,0,17.81,23.27,4.362,60.73,0,0,0,0,11.87
1990-01-08,0,61.96,0,5.062,59.78,0,0,0,0,0,0,20.19,1.998,0,0,0,26.6,26.6,0,0,0,0,0,0,0,18.11,23.7,4.399,60.94,0,0,0,0,11.77
1990-01-09,0,60.7,0,5.048,58.53,0,0,0,0,0,0,19.57,1.94,0,0,0,25.89,25.89,0,0,0,0,0,0,0,17.7,23.7,4.343,60.51,0,0,0,0,11.52
1990-01-10,0,61.02,0,4.909,58.64,0,0,0,0,0,0,19.28,1.963,0,0,0,25.89,25.89,0,0,0,0,0,0,0,17.21,23.83,4.307,60.51,0,0,0,0,11.73
1990-01-11,0,61.33,0,4.811,58.64,0,0,0,0,0,0,19.53,1.963,0,0,0,26.18,26.18,0,0,0,0,0,0,0,17.36,24.17,4.343,60.73,0,0,0,0,11.6
1990-01-12,0,59.77,0,4.79,57.17,0,0,0,0,0,0,18.94,1.928,0,0,0,25.19,25.19,0,0,0,0,0,0,0,16.83,23.27,4.122,59.86,0,0,0,0,11.4
1990-01-15,0,60.55,0,4.79,56.72,0,0,0,0,0,0,18.86,1.917,0,0,0,24.83,24.83,0,0,0,0,0,0,0,16.57,23.36,4.104,59.86,0,0,0,0,11.38
1990-01-16,0,60.24,0,4.937,57.29,0,0,0,0,0,0,18.86,1.94,0,0,0,25.26,25.26,0,0,0,0,0,0,0,16.91,23.66,4.086,59.65,0,0,0,0,11.5
1990-01-17,0,59.3,0,4.867,57.06,0,0,0,0,0,0,18.69,1.975,0,0,0,24.97,24.97,0,0,0,0,0,0,0,16.46,23.53,4.196,59.65,0,0,0,0,11.5
1990-01-18,0,60.08,0,5.284,57.62,0,0,0,0,0,0,18.86,1.975,0,0,0,24.55,24.55,0,0,0,0,0,0,0,16.76,23.87,4.251,58.35,0,0,0,0,11.69
1990-01-19,0,60.86,0,5.235,58.76,0,0,0,0,0,0,19.11,1.975,0,0,0,24.62,24.62,0,0,0,0,0,0,0,16.83,23.7,4.251,58.13,0,0,0,0,11.67
1990-01-22,0,58.83,0,5.048,56.95,0,0,0,0,0,0,18.44,1.928,0,0,0,23.98,23.98,0,0,0,0,0,0,0,16.34,23.14,4.067,58.35,0,0,0,0,11.48
1990-01-23,0,58.98,0,4.992,56.83,0,0,0,0,0,0,18.4,1.928,0,0,0,23.98,23.98,0,0,0,0,0,0,0,16.46,22.71,3.938,59,0,0,0,0,11.34
